id,user_id,store_id,ordered_at
1cfd4d0c-9cee-40f1-a51c-7e73b7e1b105,129143d5-322b-452f-9504-0d3cc0147457,995211cb-a008-4483-b289-c312686d475f,2021-12-11T01:00:00.000Z
800f012e-a78d-442f-8f30-a7f17f42d780,ca934b60-a87a-4e48-bf87-ee6ea5314c0a,21306d88-f4e4-40d7-b1b7-f5e958e31c36,2022-11-06T11:00:00.000Z
e2a35747-416c-4e66-8003-f490406c1017,d71fdeec-2a16-4c41-aa47-a3a4e3879b9d,d2c9d395-4b52-44b5-8314-321edb2b7978,2022-03-18T14:26:00.000Z
6d0849ab-ecd3-41df-801d-5003b30897e4,91afe35f-8067-48c1-9c7b-7d4cd6ed7e27,8c1be73e-8b65-4348-98c2-4ea0975f93a0,2020-07-09T11:56:00.000Z
1d536176-bfdd-45f8-96de-a1e767c4ceb0,6dd09b20-a70f-4f43-b86e-ea94b32934f7,db238934-5553-4f16-98de-542215c8e213,2020-09-06T21:30:00.000Z
15c87946-474c-4b7a-bb61-75276374aa9d,7d3ec19b-4aa9-478d-b525-1ad562d1ebd7,518ab668-4258-42da-a7bd-5ea8e6608744,2022-09-08T12:56:00.000Z
77423279-c097-4fb0-985b-b5f8460d973a,c0bbebd0-62e1-4de2-bfb3-a4cc49e2b8bf,6175035e-69a4-4aa5-83c6-1c0b054314d9,2021-04-18T15:30:00.000Z
ad96bc3e-3fbd-4321-9b7b-6eeee6201a39,c05da15a-4280-4acc-8ae5-c056e0a7fad7,b9763c1a-e2ec-4424-b409-581d3f9017d2,2020-10-21T18:49:00.000Z
76f019a6-d2b6-4670-a7c9-e1906fc7191d,9e4da56b-177c-48ff-a707-1fd916d334a7,86cb5f25-978e-458d-ab9f-f461ba142ada,2020-11-23T11:29:00.000Z
e7783cde-a145-48c8-a8ad-7d6043d720a3,0554d22e-3a7c-473b-9c20-f0b5b7ab1063,a572e387-2656-4ad3-8b82-9cb44834924a,2021-09-08T09:52:00.000Z
49cbeceb-c09b-42fa-8162-fd627eae8994,dde2cae5-ab9c-401a-ac30-a7dba6be9a01,63f0f628-d40e-4404-a438-c7ba48c6e91c,2022-05-06T03:50:00.000Z
21953dc5-1169-4f02-8611-a4ec71c48e99,008f4f4b-cc25-4f99-9164-fd23e075d11a,2d4a0c54-59d2-402d-ab65-6cef953d70b1,2021-09-01T16:11:00.000Z
a3e0f458-1abf-41f1-b937-38f4efc892ae,59c7c0c8-1eb3-4ba4-9760-5ce64fce8681,9236c88a-42fe-4b39-88a2-68560e153e6e,2020-07-03T16:26:00.000Z
891b82cf-6249-48d2-a442-eb119a2a12d2,abd446e6-a47d-462f-a73d-ff08827eaba3,fc2c9d92-e69f-4b4c-b355-fd85c7e0875b,2021-02-23T04:13:00.000Z
fbcad9bc-43ee-47aa-bc85-a2a91bad0f81,b2fe418a-b7b2-47f8-9f8d-0b742e40c409,d2c9d395-4b52-44b5-8314-321edb2b7978,2020-07-02T22:04:00.000Z
d46674dd-3976-405f-8a2f-3b0157b6cf17,72e443a4-f924-4a91-b5f2-b4e23984a3ab,1de017f2-6537-4f31-8f05-77bd89bf18fc,2021-06-14T23:14:00.000Z
22abaae1-6340-44ca-a73d-d9b005e6e207,efdd7557-a24a-4542-93f7-c0992c8ab0d3,757d4493-fc8f-4643-8207-34f5dc879c30,2021-05-13T14:33:00.000Z
63a05a92-1cff-456f-a7c4-cd02600a8d73,c84c26fd-5bb2-4499-9bf2-f24da72dff1f,1fc2428e-367b-4a5c-90b8-1a481ebbb923,2021-07-04T18:26:00.000Z
828871df-f9f1-459e-bb16-f449e1e20417,57e7e324-a5e2-4f7d-bad8-be16e712f205,3cd4af8e-2389-4cea-8112-fd17101f11d0,2021-09-26T14:07:00.000Z
f6783a8b-e686-42b1-8796-cfd0d691857d,5311f453-4b54-4694-ae1e-776959f82ed7,d2c9d395-4b52-44b5-8314-321edb2b7978,2021-04-02T18:16:00.000Z
07c74501-68ae-4c8f-8883-c1ca0c442efd,13529f87-43b5-4ac1-84d5-15d9bbe57bed,482a23cd-753d-4fea-9d73-3d410e46e207,2021-11-25T00:08:00.000Z
7425d513-6fed-4d95-bc2b-9ae4efc77e58,e3f436a4-553f-4df4-a31e-28eb51b1492d,8c1be73e-8b65-4348-98c2-4ea0975f93a0,2022-11-03T10:50:00.000Z
1673603e-573a-4b4e-8136-52bff7a2ab38,0a50832a-3c90-42e3-83c8-7f439c86ea58,7c604375-039f-4eb3-b553-40ea69eff3d9,2022-01-11T12:42:00.000Z
45de2344-d057-4c0c-aceb-31f1f4a60d95,1e82f066-ce94-4870-828b-5b4f0725c943,4bbdd29c-cfd0-4a39-8b06-b4c14b81b016,2021-11-23T23:18:00.000Z
3a5b0983-da7c-4fb7-ac41-49fadb1f0306,5c991fcd-07fe-4ac7-ba9d-09c2b60b0e9d,86cb5f25-978e-458d-ab9f-f461ba142ada,2020-04-05T14:39:00.000Z
367183cc-851e-45ee-ac49-66655829412e,d8d1221b-6028-4de1-9b57-a48113bab111,dbc3f1d5-80cc-470d-b460-018cd4d5c538,2022-12-01T22:28:00.000Z
ed4af03e-613d-439c-bb9f-b2e5a3ee809f,2b25907f-36fd-4977-a980-30c8b6dc85b0,c60f8fd8-9c2d-4507-8e7f-a4fbd592b1a8,2020-05-08T00:41:00.000Z
c05652ee-d395-45e6-830e-a5d1e5c63005,8a81a939-4dba-48aa-b32e-d0f130089082,bb4f5d4b-e510-41f8-96f5-a046b537d462,2022-08-15T18:14:00.000Z
189da937-b268-4b70-be77-daa868fca459,3662fcd4-c8d7-4b7b-a215-4e5ef0c42a19,9236c88a-42fe-4b39-88a2-68560e153e6e,2020-11-09T19:28:00.000Z
4f54842b-0630-463b-8c24-23b694f323e3,9610800d-d3c9-4ee5-a930-5310cc71235d,245a11a7-e943-4177-a6e9-a16baea5b995,2020-12-24T15:00:00.000Z
3f71465a-bbf3-47ae-931f-490b45e71b1f,0517e230-5836-4a91-8906-6fd02e789afe,f1494b17-4582-4e0f-8bc0-a3ef4f046953,2021-03-18T21:51:00.000Z
9de64c38-3887-4bad-a97b-8b3fb5a54767,e984d202-bb97-4e03-9a81-a910b46f3bd7,3c872265-d0d8-45fe-912d-bbe560378521,2020-03-22T02:17:00.000Z
